pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
173.195,-73.075,0.0,top,C1,GCM155R71C104KA55J,,C_0402_1005Metric,0.1uF,smt
183.65,-54.225,-90.0,top,C10,GCM155R71C104KA55J,,C_0402_1005Metric,0.1uF,smt
184.575,-54.225,-90.0,top,C11,GRM155R61C105KA12D,,C_0402_1005Metric,1uF,smt
192.46,-65.6,180.0,top,C12,GCM155R71C104KA55J,,C_0402_1005Metric,0.1uF,smt
192.455,-66.525,180.0,top,C13,GRM155R61C105KA12D,,C_0402_1005Metric,1uF,smt
184.4,-75.225,90.0,top,C14,GCM155R71C104KA55J,,C_0402_1005Metric,0.1uF,smt
183.475,-75.225,90.0,top,C15,GRM155R61C105KA12D,,C_0402_1005Metric,1uF,smt
156.65,-62.15,0.0,top,C18,GRM155R61C105KA12D,,C_0402_1005Metric,1uF,smt
173.2,-72.125,0.0,top,C2,GRM155R61C105KA12D,,C_0402_1005Metric,1uF,smt
173.2,-71.15,0.0,top,C3,GCM155R71C104KA55J,,C_0402_1005Metric,0.1uF,smt
181.7522,-54.229,-90.0,top,C4,GRM155R61C105KA12D,,C_0402_1005Metric,1uF,smt
182.7022,-54.229,-90.0,top,C5,GCM155R71C104KA55J,,C_0402_1005Metric,0.1uF,smt
209.431001,-73.8182,180.0,top,C59,GRM155R61C105KA12D,,C_0402_1005Metric,1uF,smt
176.355,-53.084,0.0,top,C6,GRM155R71H222JA01J,,C_0402_1005Metric,2.2nF,smt
211.981999,-70.1682,-90.0,top,C61,GCM155R71C104KA55J,,C_0402_1005Metric,0.1uF,smt
209.428001,-74.7812,180.0,top,C66,GCM155R71C104KA55J,,C_0402_1005Metric,0.1uF,smt
176.36,-54.034,0.0,top,C7,GRM155R71H222JA01J,,C_0402_1005Metric,2.2nF,smt
171.475,-60.2,0.0,top,C8,GRM155R71H222JA01J,,C_0402_1005Metric,2.2nF,smt
171.455,-61.125,0.0,top,C9,GRM155R71H222JA01J,,C_0402_1005Metric,2.2nF,smt
213.844,-62.634,-90.0,top,CANFD1,,,JST_SMD_1.0mm-4_Vertical,JST-SH-1x04 1.0mm,smt
145.512,-62.634,90.0,top,CANFD2,,,JST_SMD_1.0mm-4_Vertical,JST-SH-1x04 1.0mm,smt
156.9,-63.35,180.0,top,D1,ESD5V0D5-TP,,D_SOD-523,ESD5Zxx,smt
149.9105,-61.18,0.0,top,D2,,,SOT-23,NUP2105L,smt
209.723,-67.0655,-90.0,top,D3,,,SOT-23,NUP2105L,smt
147.3144,-54.0833,0.0,top,GPIO5,,,solderpads,POLLINGPADS,smt
145.512,-70.352,90.0,top,I2C1,,,JST_SMD_1.0mm-4_Vertical,JST-SH-1x04 1.0mm,smt
161.192,-58.543,0.0,top,J1,,,SAMTEC_FTSH-105-01-F-DV-P-TR,Programming Header,smt
179.9978,-54.737,90.0,top,R1,ERJ-1GNF3300C,,R_0201_0603Metric,330,smt
190.125,-73.955,-90.0,top,R10,ERJ-1GNF5600C,,R_0201_0603Metric,560,smt
194.5,-72.775,0.0,top,R11,ERJ-1GNF5600C,,R_0201_0603Metric,560,smt
194.5,-72.075,0.0,top,R12,ERJ-1GNF5600C,,R_0201_0603Metric,560,smt
194.5,-71.375,0.0,top,R13,ERJ-1GNF5600C,,R_0201_0603Metric,560,smt
194.5,-70.65,0.0,top,R14,ERJ-1GNF5600C,,R_0201_0603Metric,560,smt
194.5,-69.925,0.0,top,R15,ERJ-1GNF5600C,,R_0201_0603Metric,560,smt
194.5,-69.225,0.0,top,R16,ERJ-1GNF5600C,,R_0201_0603Metric,560,smt
194.5,-68.5,0.0,top,R17,ERJ-1GNF5600C,,R_0201_0603Metric,560,smt
194.48,-67.8,0.0,top,R18,ERJ-1GNF5600C,,R_0201_0603Metric,560,smt
194.5,-65.45,0.0,top,R19,ERJ-1GNF5600C,,R_0201_0603Metric,560,smt
179.2478,-54.737,90.0,top,R2,ERJ-1GNF3300C,,R_0201_0603Metric,330,smt
194.5,-64.725,0.0,top,R20,ERJ-1GNF5600C,,R_0201_0603Metric,560,smt
194.5,-64.025,0.0,top,R21,ERJ-1GNF5600C,,R_0201_0603Metric,560,smt
194.5,-63.325,0.0,top,R22,ERJ-1GNF5600C,,R_0201_0603Metric,560,smt
200.55,-59.475,90.0,top,R23,ERJ-1GNF5600C,,R_0201_0603Metric,560,smt
199.85,-59.475,90.0,top,R24,ERJ-1GNF5600C,,R_0201_0603Metric,560,smt
199.15,-59.475,90.0,top,R25,ERJ-1GNF5600C,,R_0201_0603Metric,560,smt
198.45,-59.475,90.0,top,R26,ERJ-1GNF5600C,,R_0201_0603Metric,560,smt
197.75,-59.475,90.0,top,R27,ERJ-1GNF5600C,,R_0201_0603Metric,560,smt
194.737,-59.507,0.0,top,R28,ERJ-1GNF5600C,,R_0201_0603Metric,560,smt
194.728,-58.784,0.0,top,R29,ERJ-1GNF5600C,,R_0201_0603Metric,560,smt
185.225,-73.955,-90.0,top,R3,ERJ-1GNF5600C,,R_0201_0603Metric,560,smt
192.521,-58.155,0.0,top,R30,ERJ-1GNF5600C,,R_0201_0603Metric,560,smt
190.467,-55.589,0.0,top,R31,ERJ-1GNF5600C,,R_0201_0603Metric,560,smt
190.474,-54.861,0.0,top,R32,ERJ-1GNF5600C,,R_0201_0603Metric,560,smt
168.8,-58.725,180.0,top,R33,ERJ-1GNF5600C,,R_0201_0603Metric,560,smt
168.8,-59.425,180.0,top,R34,ERJ-1GNF5600C,,R_0201_0603Metric,560,smt
168.8,-61.275,180.0,top,R35,ERJ-1GNF5600C,,R_0201_0603Metric,560,smt
168.8,-61.975,180.0,top,R36,ERJ-1GNF5600C,,R_0201_0603Metric,560,smt
