"Reference","Value","Qty","Manufacturer","Mfg Part #","Description"
"C1,C3,C5,C10,C12,C14,C61,C66","0.1uF","8","Murata Electronics","GCM155R71C104KA55J","0.1 µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"C2,C4,C11,C13,C15,C18,C59","1uF","7","Murata Electronics","GRM155R61C105KA12D","1 µF ±10% 16V Ceramic Capacitor X5R 0402 (1005 Metric)"
"C6,C7,C8,C9","2.2nF","4","Murata Electronics","GRM155R71H222JA01J","2200 pF ±5% 50V Ceramic Capacitor X7R 0402 (1005 Metric)"
"CANFD1,CANFD2,I2C1","JST-SH-1x04 1.0mm","3","JST Sales America Inc.","BM04B-SRSS-TB","Connector Header Surface Mount 4 position 0.039"" (1.00mm)"
"D1","ESD5Zxx","1","Micro Commercial Co","ESD5V0D5-TP","18.6V Clamp 11.6A (8/20µs) Ipp Tvs Diode Surface Mount SOD-523"
"D2,D3","NUP2105L","2","Diotec Semiconductor","NUP2105L","44V Clamp 8A (8/20µs) Ipp Tvs Diode Surface Mount SOT-23-3 (TO-236)"
"J1","Programming Header","1","Samtec Inc.","FTSH-105-01-F-DV-K-TR","Connector Header Surface Mount 10 position 0.050"" (1.27mm)"
"R1,R2,R66,R67","330","4","Panasonic Electronic Components","ERJ-1GNF3300C","330 Ohms ±1% 0.05W, 1/20W Chip Resistor 0201 (0603 Metric) Thick Film"
"R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62","560","60","Panasonic Electronic Components","ERJ-1GNF5600C","560 Ohms ±1% 0.05W, 1/20W Chip Resistor 0201 (0603 Metric) Thick Film"
"R63,R64","4.7k","2","Panasonic Electronic Components","ERJ-1GNF4701C","4.7 kOhms ±1% 0.05W, 1/20W Chip Resistor 0201 (0603 Metric) Thick Film"
"R65","120","1","Panasonic Electronic Components","ERA-6AEB121V","120 Ohms ±0.1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200 Thin Film"
"R71,R72","10k","2","Panasonic Electronic Components","ERJ-2RKF1002X","10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"SW2","SW_DIP_x02","1","C&K","TDA02H0SB1R","2x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol"
"TOUCH1,TOUCH2","FFCHEADER","2","Molex","54132-3262","32 Position FFC, FPC Connector Contacts, Bottom 0.020"" (0.50mm) Surface Mount, Right Angle"
"U1","CY8C4149AZI-S598","1","Infineon Technologies","CY8C4149AZI-S598","ARM® Cortex®-M0+ PSOC® 4 CY8C4100S Microcontroller IC 32-Bit 48MHz 384KB (384K x 8) FLASH 100-TQFP (14x14)"
"U8","TCAN3413DRBR","1","Texas Instruments","TCAN3413DRBR","1/1 Transceiver Half CANbus 8-SON (3x3)"
